s,kW,kW,kW,kW,kW,kW,kW,kW,kW,kW,kg/s,kg/s,kg/s,Pa
Time,HRR,HRR_OX,Q_RADI,Q_CONV,Q_COND,Q_DIFF,Q_PRES,Q_PART,Q_ENTH,Q_TOTAL,MLR_AIR,MLR_PROPANE,MLR_PRODUCTS,ZONE_1
 1.5026106E+000, 2.8026330E+002, 0.0000000E+000,-8.6189423E+001,-5.5450358E-002,-1.1378372E+001,-1.8121554E-002, 7.0330262E+001, 0.0000000E+000, 2.5136053E+002, 2.5295219E+002, 0.0000000E+000, 8.8643571E-003, 0.0000000E+000, 2.3618356E+003
 1.5635767E+000, 3.3133873E+002, 0.0000000E+000,-9.0737290E+001,-5.8062418E-002,-1.3296252E+001,-1.8333988E-002, 8.4101158E+001, 0.0000000E+000, 3.0299499E+002, 3.1132995E+002, 0.0000000E+000, 8.9730325E-003, 0.0000000E+000, 2.5445271E+003
 1.6235683E+000, 4.5758821E+002, 0.0000000E+000,-1.1735085E+002,-5.5314892E-002,-1.5665005E+001,-1.7596468E-002, 1.1953848E+002, 0.0000000E+000, 4.3622647E+002, 4.4403792E+002, 0.0000000E+000, 9.0678909E-003, 0.0000000E+000, 2.8014481E+003
 1.6806703E+000, 4.3603941E+002, 0.0000000E+000,-1.3523222E+002,-6.2512307E-002,-1.8018822E+001,-1.8187309E-002, 1.0837723E+002, 0.0000000E+000, 3.9977723E+002, 3.9108490E+002, 0.0000000E+000, 9.1508909E-003, 0.0000000E+000, 3.0279574E+003
 1.7413968E+000, 3.7888328E+002, 0.0000000E+000,-1.2233135E+002,-5.7833326E-002,-2.0532040E+001,-1.8532536E-002, 9.3099885E+001, 0.0000000E+000, 3.3462283E+002, 3.2904342E+002, 0.0000000E+000, 9.2257500E-003, 0.0000000E+000, 3.2343718E+003
 1.8000991E+000, 3.0220263E+002, 0.0000000E+000,-1.0664823E+002,-5.7954158E-002,-2.2128226E+001,-1.8512490E-002, 7.1302469E+001, 0.0000000E+000, 2.5419655E+002, 2.4465217E+002, 0.0000000E+000, 9.2937873E-003, 0.0000000E+000, 3.3884221E+003
 1.8636507E+000, 2.7512297E+002, 0.0000000E+000,-8.2833219E+001,-6.3935571E-002,-2.2942319E+001,-1.7582646E-002, 6.8315266E+001, 0.0000000E+000, 2.3326090E+002, 2.3758118E+002, 0.0000000E+000, 9.3550923E-003, 0.0000000E+000, 3.5440939E+003
 1.9212875E+000, 3.1958506E+002, 0.0000000E+000,-8.3276821E+001,-5.9689545E-002,-2.4098234E+001,-1.8837195E-002, 8.1625041E+001, 0.0000000E+000, 2.8930360E+002, 2.9375652E+002, 0.0000000E+000, 9.4097587E-003, 0.0000000E+000, 3.7131858E+003
 1.9832165E+000, 3.5822756E+002, 0.0000000E+000,-9.6293018E+001,-5.8981161E-002,-2.5294339E+001,-1.9118037E-002, 8.8456380E+001, 0.0000000E+000, 3.2096844E+002, 3.2501849E+002, 0.0000000E+000, 9.4582582E-003, 0.0000000E+000, 3.9101079E+003
 2.0405009E+000, 4.0822715E+002, 0.0000000E+000,-1.1188856E+002,-6.2060973E-002,-2.6295652E+001,-1.9000090E-002, 9.9992080E+001, 0.0000000E+000, 3.6350685E+002, 3.6995396E+002, 0.0000000E+000, 9.5010842E-003, 0.0000000E+000, 4.1154728E+003
