s,kW,kW,kW,kW,kW,kW,kW,kW,kW,kW,kg/s,kg/s,kg/s,Pa
Time,HRR,HRR_OX,Q_RADI,Q_CONV,Q_COND,Q_DIFF,Q_PRES,Q_PART,Q_ENTH,Q_TOTAL,MLR_AIR,MLR_PROPANE,MLR_PRODUCTS,ZONE_1
 2.0406851E+001, 2.9461052E+002, 0.0000000E+000,-1.5679374E+002,-5.9017592E-002,-8.6822315E+001,-1.7746212E-002, 1.9485076E+001, 0.0000000E+000, 7.0743056E+001, 7.0402776E+001, 0.0000000E+000, 8.1306990E-003, 0.0000000E+000, 4.9619496E+004
 2.0522444E+001, 3.3933846E+002, 0.0000000E+000,-1.6574547E+002,-8.2907941E-003,-8.7488792E+001,-1.9419411E-002, 2.9595888E+001, 0.0000000E+000, 1.1235579E+002, 1.1567237E+002, 0.0000000E+000, 8.1306990E-003, 0.0000000E+000, 4.9741164E+004
 2.0645084E+001, 3.5472838E+002, 0.0000000E+000,-1.7085044E+002,-5.3889005E-002,-8.8176921E+001,-1.8980649E-002, 3.5810266E+001, 0.0000000E+000, 1.3052554E+002, 1.3143842E+002, 0.0000000E+000, 8.1306990E-003, 0.0000000E+000, 4.9899029E+004
 2.0761213E+001, 3.8251615E+002, 0.0000000E+000,-1.7482865E+002,-4.7606113E-002,-8.8605238E+001,-1.8403657E-002, 4.4975735E+001, 0.0000000E+000, 1.6292099E+002, 1.6399199E+002, 0.0000000E+000, 8.1306990E-003, 0.0000000E+000, 5.0087217E+004
 2.0882906E+001, 3.7193062E+002, 0.0000000E+000,-1.7675070E+002,-6.6474076E-002,-8.9413071E+001,-1.8717734E-002, 3.8449739E+001, 0.0000000E+000, 1.4609468E+002, 1.4413140E+002, 0.0000000E+000, 8.1306990E-003, 0.0000000E+000, 5.0258204E+004
 2.1004599E+001, 3.7181682E+002, 0.0000000E+000,-1.7376896E+002,-3.2624494E-002,-9.1761473E+001,-1.8464434E-002, 4.0252101E+001, 0.0000000E+000, 1.4661833E+002, 1.4648739E+002, 0.0000000E+000, 8.1306990E-003, 0.0000000E+000, 5.0434611E+004
 2.1127159E+001, 3.6098891E+002, 0.0000000E+000,-1.5992515E+002,-9.0097814E-002,-9.2992080E+001,-1.8565315E-002, 4.2251661E+001, 0.0000000E+000, 1.4769453E+002, 1.5021467E+002, 0.0000000E+000, 8.1306990E-003, 0.0000000E+000, 5.0620429E+004
 2.1244194E+001, 4.0250805E+002, 0.0000000E+000,-1.7469374E+002,-2.2330406E-002,-9.3758313E+001,-1.8471139E-002, 4.9074575E+001, 0.0000000E+000, 1.8485553E+002, 1.8308977E+002, 0.0000000E+000, 8.1306990E-003, 0.0000000E+000, 5.0829583E+004
 2.1366570E+001, 3.5737846E+002, 0.0000000E+000,-1.7100535E+002,-5.5723700E-002,-9.4809747E+001,-1.8598602E-002, 3.6588728E+001, 0.0000000E+000, 1.2959507E+002, 1.2807776E+002, 0.0000000E+000, 8.1306990E-003, 0.0000000E+000, 5.0992250E+004
 2.1482580E+001, 3.5989358E+002, 0.0000000E+000,-1.6315254E+002,-4.7335779E-002,-9.4641985E+001,-1.8733047E-002, 4.0670030E+001, 0.0000000E+000, 1.4084454E+002, 1.4270302E+002, 0.0000000E+000, 8.1306990E-003, 0.0000000E+000, 5.1162066E+004
