s,kW,kW,kW,kW,kW,kW,kW,kW,kW,kW,kg/s,kg/s,kg/s,Pa
Time,HRR,HRR_OX,Q_RADI,Q_CONV,Q_COND,Q_DIFF,Q_PRES,Q_PART,Q_ENTH,Q_TOTAL,MLR_AIR,MLR_PROPANE,MLR_PRODUCTS,ZONE_1
 8.7664394E+000, 9.4485757E+002, 0.0000000E+000,-4.4771362E+002, 7.8394254E-002,-1.3483070E+002,-3.3688511E-002, 1.4298659E+002, 0.0000000E+000, 5.2183324E+002, 5.0534454E+002, 0.0000000E+000, 1.9830754E-002, 0.0000000E+000, 5.2364796E+004
 8.8846188E+000, 8.4236324E+002, 0.0000000E+000,-4.2032422E+002,-8.2057377E-002,-1.3410743E+002,-3.1674504E-002, 1.0909864E+002, 0.0000000E+000, 3.9551535E+002, 3.9691650E+002, 0.0000000E+000, 1.9830754E-002, 0.0000000E+000, 5.2831266E+004
 9.0020590E+000, 9.5530413E+002, 0.0000000E+000,-4.4075145E+002,-4.3171104E-002,-1.3778483E+002,-3.1313095E-002, 1.3314719E+002, 0.0000000E+000, 5.0288542E+002, 5.0984056E+002, 0.0000000E+000, 1.9830754E-002, 0.0000000E+000, 5.3393336E+004
 9.1212559E+000, 9.7606047E+002, 0.0000000E+000,-4.6421025E+002,-7.6852315E-002,-1.4019715E+002,-3.1595902E-002, 1.3498492E+002, 0.0000000E+000, 5.1327492E+002, 5.0652955E+002, 0.0000000E+000, 1.9830754E-002, 0.0000000E+000, 5.3979232E+004
 9.2418270E+000, 8.2822732E+002, 0.0000000E+000,-4.1768314E+002,-1.2970939E-001,-1.4288251E+002,-3.2837362E-002, 1.0459207E+002, 0.0000000E+000, 3.7571600E+002, 3.7209120E+002, 0.0000000E+000, 1.9830754E-002, 0.0000000E+000, 5.4437579E+004
 9.3636904E+000, 7.6261080E+002, 0.0000000E+000,-3.8333659E+002,-1.0113093E-001,-1.4259970E+002,-3.4653154E-002, 9.3727574E+001, 0.0000000E+000, 3.2992483E+002, 3.3026631E+002, 0.0000000E+000, 1.9830754E-002, 0.0000000E+000, 5.4851348E+004
 9.4809866E+000, 7.9343619E+002, 0.0000000E+000,-3.9187894E+002,-9.4509656E-002,-1.4162161E+002,-3.5893869E-002, 9.9669090E+001, 0.0000000E+000, 3.5830038E+002, 3.5947433E+002, 0.0000000E+000, 1.9830754E-002, 0.0000000E+000, 5.5274369E+004
 9.6019497E+000, 8.8075941E+002, 0.0000000E+000,-4.4256233E+002,-2.2324869E-001,-1.4170743E+002,-3.5842024E-002, 1.1203758E+002, 0.0000000E+000, 4.0070811E+002, 4.0826813E+002, 0.0000000E+000, 1.9830754E-002, 0.0000000E+000, 5.5760434E+004
 9.7253313E+000, 1.0120625E+003, 0.0000000E+000,-4.8044861E+002,-1.5178001E-001,-1.4088088E+002,-3.5513615E-002, 1.4718791E+002, 0.0000000E+000, 5.3181106E+002, 5.3773362E+002, 0.0000000E+000, 1.9830754E-002, 0.0000000E+000, 5.6413435E+004
 9.8453112E+000, 9.6273779E+002, 0.0000000E+000,-4.6577528E+002,-1.8083705E-001,-1.4063104E+002,-3.3780545E-002, 1.3971049E+002, 0.0000000E+000, 4.9545957E+002, 4.9582734E+002, 0.0000000E+000, 1.9830755E-002, 0.0000000E+000, 5.7019313E+004
